,UMAP1,UMAP2,profile
0,1.4798013,3.147864,0
1,7.141966,-2.3834732,2
2,2.4859614,2.03619,2
3,3.6418715,7.9397225,0
4,-10.711507,4.1716623,4
5,-1.6910176,-14.224786,2
6,-14.117035,-10.546202,4
7,-14.117359,-10.546515,4
8,-14.118194,-10.547349,4
9,10.435279,-24.614285,1
10,10.671914,-24.769444,1
11,10.703749,-24.45347,1
12,32.23087,-6.820319,5
13,10.9456,-24.718916,1
14,10.42175,-24.889612,1
15,-18.026558,21.321352,4
16,10.356453,-24.681334,1
17,-22.694544,-2.6740124,4
18,10.320706,-24.65338,1
19,10.507356,-24.648073,1
20,-20.773178,6.007594,4
21,10.774433,-24.334236,1
22,-18.024717,21.319487,4
23,12.712124,1.495056,2
24,12.431893,1.769822,2
25,-14.116883,-10.5460615,4
26,2.4787807,2.0468338,2
27,-22.690863,-2.6772246,4
28,-5.326449,35.67229,3
29,2.4928036,2.0331244,2
30,3.6440535,7.940151,0
31,2.4891205,2.0358033,2
32,12.28119,9.37431,2
33,3.4536376,8.179399,0
34,-0.728069,7.13519,0
35,14.509292,-7.3115616,2
36,12.960775,1.7504551,2
37,7.242256,-7.0330906,2
38,12.809398,2.1137025,2
39,7.843867,-2.2321827,2
40,10.034563,-1.8989656,2
41,-1.686203,-14.222054,2
42,2.4990993,2.0261283,2
43,-23.386023,-10.082021,4
44,-22.704855,-2.6829593,4
45,10.581046,-24.7149,1
46,10.716991,-24.539785,1
47,-22.694313,-2.673684,4
48,-20.693365,6.087428,4
49,10.547017,-24.693087,1
50,10.49915,-24.658772,1
51,10.60428,-24.560682,1
52,-10.923356,9.571297,4
53,-20.77414,6.00664,4
54,10.527417,-24.829317,1
55,-20.793083,5.987728,4
56,-21.483315,-18.065271,4
57,-5.3256655,35.671455,3
58,10.714459,-24.500957,1
59,-18.028675,21.323452,4
60,10.50711,-24.672646,1
61,10.38103,-24.294518,1
62,10.444842,-24.92501,1
63,10.750554,-24.615658,1
64,-20.774384,6.006487,4
65,-20.769373,6.0113783,4
66,32.23483,-6.816342,5
67,10.424033,-24.919857,1
68,10.750427,-24.640678,1
69,10.73495,-24.591618,1
70,10.403559,-24.64005,1
71,-20.803648,5.977094,4
72,-7.3573623,6.03422,4
73,-23.582636,-10.282756,4
74,-20.80763,5.9731064,4
75,-20.6991,6.0816875,4
76,10.656159,-24.48122,1
77,10.767295,-24.375818,1
78,32.240036,-6.8107243,5
79,24.652954,4.4242196,5
80,-22.69395,-2.6729076,4
81,-5.327068,35.67314,3
82,-20.726824,6.0539637,4
83,32.235607,-6.815549,5
84,-10.711481,4.1716514,4
85,33.09074,3.0894222,5
86,-14.117512,-10.546684,4
87,10.651957,-24.437124,1
88,-18.028915,21.323715,4
89,-5.3259225,35.671757,3
90,-5.325905,35.671837,3
91,-20.77499,6.005779,4
92,12.418499,1.7756697,2
93,1.4596654,3.0985255,0
94,-0.97713447,7.6836624,0
95,12.815389,2.1195896,2
96,2.4772377,2.0476763,2
97,11.074376,1.4088854,2
98,12.601735,1.4378539,2
99,12.643247,1.8016026,2
100,-5.3259172,35.671864,3
101,13.084051,1.2145193,2
102,12.904509,1.7436389,2
103,10.613112,-2.6217904,2
104,1.0185847,2.477218,0
105,3.6802866,7.9167976,0
106,1.1635518,2.785425,0
107,3.6630435,7.908336,0
108,2.483317,2.0424998,2
109,1.2579682,2.9431129,0
110,-0.99418294,7.7187843,0
111,-0.96443087,7.7015643,0
112,-1.0375079,7.7916613,0
113,1.1574053,2.7898123,0
114,-0.9850402,7.714121,0
115,-0.98390365,7.752065,0
116,12.754042,1.9057162,2
117,-22.697596,-2.6687865,4
118,-14.116814,-10.545971,4
119,-14.11623,-10.54542,4
120,-21.483347,-18.065308,4
121,7.134978,-2.3772578,2
122,7.14159,-2.383461,2
123,7.1142044,-2.354587,2
124,7.8184433,-2.2739508,2
125,3.4654963,8.156687,0
126,10.09893,-1.9546919,2
127,14.502852,-7.314967,2
128,-1.0688306,7.818382,0
129,1.0120984,2.4696035,0
130,12.279565,9.375518,2
131,-1.4067669,-13.100109,2
132,7.2447195,-7.0331564,2
133,1.0681986,2.5405655,0
134,-0.9669731,7.7153554,0
135,-0.75720084,7.1741133,0
136,-1.5874473,-12.8813305,2
137,32.192566,-6.8587613,5
138,32.184765,-6.866569,5
139,-21.483362,-18.065308,4
140,32.24696,-6.80368,5
141,-22.685602,-2.6816351,4
142,-18.02926,21.324045,4
143,32.19328,-6.858126,5
144,10.549719,-24.811192,1
145,-20.820017,5.96075,4
146,10.6120825,-24.655865,1
147,10.537565,-24.70495,1
148,10.632457,-24.44936,1
149,10.42878,-24.536953,1
150,-5.325786,35.671837,3
151,10.601813,-24.818346,1
152,-5.099951,-27.601202,4
153,-5.3242583,35.670338,3
154,32.18988,-6.8616104,5
155,10.645428,-24.443905,1
156,7.1076574,-2.3480139,2
157,11.891405,1.5061438,2
158,-5.326321,35.67236,3
159,-7.5073934,11.579052,4
160,3.558368,8.0261755,0
161,12.278652,9.376612,2
162,7.116165,-2.3559206,2
163,7.5852547,-7.4336643,2
