,UMAP1,UMAP2,UMAP3,profile
0,5.028684,17.043627,2.8208687,3
1,7.53892,15.2976675,9.762934,3
2,5.50898,16.60098,4.2526426,3
3,21.25731,14.64227,3.888854,5
4,-1.9112477,-4.068397,-10.037821,1
5,19.587502,23.728193,18.181456,5
6,-3.397901,-14.365821,-9.840009,1
7,-3.399625,-14.364047,-9.841639,1
8,-3.401863,-14.361751,-9.844778,1
9,16.784395,32.142128,-0.36441383,0
10,16.69675,31.891373,-0.40652183,0
11,17.019703,31.970959,-0.39409328,0
12,-15.2066145,18.060612,10.8941,3
13,16.814339,31.759115,-0.120274745,0
14,16.531702,31.988659,-0.28202742,0
15,1.4895278,-19.279108,-1.7751391,1
16,16.664358,32.218647,-0.36715165,0
17,2.4423153,2.98307,-17.478443,1
18,16.678066,32.254097,-0.4242204,0
19,16.792925,32.086933,-0.34922138,0
20,-9.964021,-14.376606,4.254729,1
21,17.078724,31.996878,-0.25652424,0
22,1.4889464,-19.276947,-1.7762254,1
23,4.2035847,19.35432,8.578894,3
24,4.2481475,19.607136,8.913075,3
25,-3.3997703,-14.364098,-9.841408,1
26,5.5401196,16.560558,4.290275,3
27,2.4342318,2.9908104,-17.470392,1
28,15.443617,7.0556774,-13.789818,5
29,5.5478854,16.549482,4.303204,3
30,21.254599,14.627803,3.8972082,5
31,5.5422683,16.551178,4.302234,3
32,-0.53417957,7.9550476,3.0804918,5
33,21.00384,14.754861,3.6794267,5
34,5.8488913,19.747023,10.94659,3
35,14.623845,9.525642,0.4505684,5
36,4.3163757,19.63817,8.463049,3
37,6.6579056,16.867483,3.7955034,3
38,4.093974,19.903702,8.691527,3
39,7.373058,16.209394,9.876511,3
40,11.067435,16.792048,7.3046308,3
41,19.58934,23.729652,18.18486,5
42,5.5412116,16.554562,4.3002863,3
43,-12.175642,8.082057,-4.2394304,1
44,2.4433208,2.9800298,-17.479418,1
45,16.766697,31.960735,-0.26731756,0
46,16.879457,31.92825,-0.26083902,0
47,2.4467788,2.9802642,-17.482895,1
48,-9.926805,-14.415571,4.325861,1
49,16.789335,32.094418,-0.32089096,0
50,16.793444,32.101852,-0.42922518,0
51,16.825726,32.017635,-0.2526101,0
52,-3.9359553,2.4524071,-6.7805176,1
53,-9.971514,-14.369876,4.256078,1
54,16.60719,32.036533,-0.46557245,0
55,-10.012228,-14.326567,4.221688,1
56,-16.220469,-3.7102747,8.185146,1
57,15.442064,7.054071,-13.788203,5
58,17.003864,31.97434,-0.47761112,0
59,1.4968083,-19.286957,-1.7825916,1
60,16.797642,32.133232,-0.43490642,0
61,17.019981,32.352398,-0.41739938,0
62,16.522264,31.969942,-0.31440404,0
63,16.857695,31.896269,-0.34687954,0
64,-9.971739,-14.369004,4.2591476,1
65,-9.979467,-14.3619585,4.2622557,1
66,-15.213512,18.067509,10.887124,3
67,16.52318,31.996302,-0.33645707,0
68,16.881536,31.949427,-0.5155687,0
69,16.943237,31.904625,-0.3948085,0
70,16.693375,32.12801,-0.20984532,0
71,-9.969803,-14.370174,4.214127,1
72,-3.401569,0.863765,-0.9219467,1
73,-12.01722,8.2478695,-4.3815866,1
74,-9.973679,-14.366791,4.228298,1
75,-9.931913,-14.41005,4.311975,1
76,16.982063,32.01907,-0.42779684,0
77,17.040535,31.977566,-0.23039,0
78,-15.182615,18.036617,10.918098,3
79,-3.4411778,10.827764,6.0138154,3
80,2.4470732,2.98045,-17.4832,1
81,15.444817,7.055483,-13.78961,5
82,-10.055574,-14.285899,4.3017654,1
83,-15.212708,18.066702,10.887916,3
84,-1.9112265,-4.068417,-10.037838,1
85,-10.9304,14.007865,9.888992,3
86,-3.3992898,-14.364436,-9.841335,1
87,17.007574,32.05802,-0.38662863,0
88,1.5013616,-19.2914,-1.7868699,1
89,15.443689,7.0555243,-13.789662,5
90,15.445052,7.0566187,-13.790759,5
91,-9.986398,-14.353978,4.257864,1
92,4.26274,19.597597,8.929938,3
93,5.0385056,17.114851,2.8825498,3
94,6.0209394,20.064379,11.481044,3
95,4.063717,19.916681,8.701912,3
96,5.5149827,16.583706,4.270332,3
97,5.4372168,18.743746,10.0686245,3
98,4.2798877,19.274092,8.697172,3
99,4.0168347,19.560682,8.737037,3
100,15.445443,7.0584116,-13.792544,5
101,4.256184,19.235542,8.141099,3
102,4.336005,19.628122,8.47174,3
103,11.628094,16.487692,6.7066298,3
104,5.0998487,17.699575,3.1926277,3
105,21.291914,14.62551,3.911822,5
106,5.1468687,17.432741,2.969638,3
107,21.270067,14.629569,3.9024808,5
108,5.5392065,16.559446,4.2943563,3
109,5.106208,17.244976,2.869443,3
110,6.0014234,20.075409,11.475169,3
111,6.1031446,20.020014,11.457517,3
112,6.051077,20.15009,11.590147,3
113,5.161366,17.483603,2.9952185,3
114,6.0634093,20.007635,11.441448,3
115,6.0614657,20.127634,11.569215,3
116,4.29981,19.763977,8.605919,3
117,2.4489856,2.9830647,-17.485117,1
118,-3.3959603,-14.367727,-9.838225,1
119,-3.3942747,-14.369446,-9.83648,1
120,-16.221577,-3.7091851,8.184062,1
121,7.5538125,15.314887,9.750465,3
122,7.5397844,15.303733,9.76353,3
123,7.4902883,15.243808,9.80795,3
124,7.4180937,16.159689,9.842823,3
125,21.029812,14.748593,3.6912217,5
126,11.073427,16.792347,7.300949,3
127,14.622534,9.527078,0.45221454,5
